id,brand,category,name,new_size,rating,number_of_reviews,love,price,value_price,URL,MarketingFlags,MarketingFlags_content,options,details,how_to_use,ingredients,online_only,exclusive,limited_edition,limited_time_offer
884569,Narciso Rodriguez,Perfume,for her Eau de Parfum,1.6,4.5,312,10600,100,100,https://www.sephora.com/product/for-her-eau-de-parfum-P122345?icid2=products grid:p122345,FALSE,0, - 1.6 oz/ 50 mL Eau de Parfum Spray ,"Essence is a sensual and luminous fragrance with a modern heart of musc. Enhanced by radiant notes of rose petals- iris- and hints of amber- the result is a pure fragrance of soft florals and powdered musc.

Notes: Musk- Iris Powder- Rose Petals- Benzoin Balm.
Style: Sensual. Warm. Pure. 
",no instructions,Alcohol- Fragrance- Water- Benzyl Salicylate- Butyl Methoxydibenzoylmethane- Linalool- Butyl Phenylmethylpropional- Limonene- Citronellol- Benzyl Alcohol- Hexyl Cinnamal- Bht- Geraniol- Cinnamyl Alcohol- Benzyl Benzoate- Hydroxycitronellal- Farnesol- Isoeugenol.,0,0,0,0
2095172,NEST New York,Perfume,Cocoa Woods,1.7,4,123,5800,74,74,https://www.sephora.com/product/cocoa-woods-P433667?icid2=products grid:p433667,TRUE,exclusive, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.27 oz/ 8 mL Eau de Parfum Rollerball,Fragrance Family: Warm & SpicyScent Type: Warm & Sweet GourmandsKey Notes: Bittersweet Cocoa- Sequoia Wood- White Sandalwood- Tiare Blossom- Thai GingerAbout: The essence of bittersweet cocoa is wrapped in sequoia wood and white sandalwood and blended with exotic hints off tiare blossom and Thai ginger for an empowered mood.Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,no instructions,Alcohol Denat- Fragrance- Benzyl Alcohol- Benzyl Benzoate- Benzyl Salicylate- Cinnamyl Alcohol- Citral- Citronellol- Eugenol- Geraniol- Limonene- Linalool.,0,1,0,0
2311926,NEST New York,Perfume,Sunkissed Hibiscus,1.7,4.5,41,2700,74,74,https://www.sephora.com/product/nest-sunkissed-hibiscus-P454827?icid2=products grid:p454827,TRUE,exclusive, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.27 oz/ 8 mL Eau de Parfum Spray,Fragrance Family: FloralsScent Type: Warm FloralsKey Notes: Frangipani- Orange Blossom- Golden AmberFragrance Description: Radiant notes of frangipani and orange blossom are combined with warm golden amber to capture the mystery of a luminous- sunkissed hibiscus. Wrap yourself in bliss with this luminous solar floral that captures the mysterious allure of a Voodoo Queen hibiscus and the warm radiance of a stunning sunset.About the Bottle: Inspired by the works of 18th Century British artist Mrs. Mary Delany- NEST Fragrancesâ€™ founder- Laura Slatkin- collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,Suggested Usage:-Fragrance is intensified by the warmth of your own body. Apply in the creases of your knees and elbows for a longer-lasting- stronger scent.Â -After applying- avoid rubbing or dabbing skin. This breaks down the fragrance- causing it to wear off more quickly.Â -If you prefer placing fragrance on your wrists- be sure to reapply after frequent hand-washing- as this tends to rinse off the scent.Â -Replace fragrance after 12 months. Expired perfumes more than a year old lose the integrity of the original scent. Eau de Toilette or Eau de Parfum?: The difference lies in the volume of perfume oil. While EDT contains five to nine percent- EDP contains more- usually eight to 14 percent. EDPs- therefore- last longer and smell more intense.,Alcohol Denat.- Fragrance (Parfum)- Water/Aqua/Eau- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate.,0,1,0,0
1585009,NEST New York,Perfume,Indigo,1.7,4.5,480,17700,74,74,https://www.sephora.com/product/indigo-P385317?icid2=products grid:p385317,FALSE,0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 3.4 oz/ 100 mL Eau de Parfum Spray - 0.28 oz/ 8 mL Eau de Parfum Rollerball,Fragrance Family: Warm & SpicyScent Type: Cool SpicesKey Notes: Bergamot- SpicesFragrance Description: Moroccan tea- Kashmir wood- and black cardamom are enhanced with hints of wild fig and bergamot.  These notes combine to create a captivating fragrance that transitions well from day to evening.About the fragrance: Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,no instructions,Alcohol Denat.- Fragrance- Water- Cinnamal- Limonene- Linalool- Geraniol- Citronellol- Citral- Benzyl Alcohol- Coumarin.,0,0,0,0
2317154,NEST New York,Perfume,Wild Poppy,3.4,4.5,88,5500,128,128,https://www.sephora.com/product/wild-poppy-P440637?icid2=products grid:p440637,TRUE,online only, - 1.7oz/50mL Eau de Parfum Spray - 3.4 oz/ 100 mL Eau de Parfum Spray  - 0.27oz/8mL Eau de Parfum Rollerball,Fragrance Family: FloralScent Type: Fruity FloralKey Notes: Rose de Grasse- Himalayan Jasmine- PearFragrance Description:In Wild Poppy- luscious aromas of pear- raspberry- and apricot are infused with hints of Himalayan jasmine- and Rose de Grasse. Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,Suggested Usage:-Fragrance is intensified by the warmth of your own body. Apply in the creases of your knees and elbows for a longer-lasting- stronger scent.Â -After applying- avoid rubbing or dabbing skin. This breaks down the fragrance- causing it to wear off more quickly.Â -If you prefer placing fragrance on your wrists- be sure to reapply after frequent hand-washing- as this tends to rinse off the scent.Â -Replace fragrance after 12 months. Expired perfumes more than a year old lose the integrity of the original scent. Eau de Toilette or Eau de Parfum?: The difference lies in the volume of perfume oil. While EDT contains five to nine percent- EDP contains more- usually eight to 14 percent. EDPs- therefore- last longer and smell more intense.,unknown,1,0,0,0
2311934,NEST New York,Perfume,Sunkissed Hibiscus Travel Spray,0.27,4.5,11,3000,27,27,https://www.sephora.com/product/nest-sunkissed-hibiscus-travel-spray-P454828?icid2=products grid:p454828,TRUE,exclusive, - 0.27 oz/ 8 mL Eau de Parfum Spray ,Fragrance Family: FloralsScent Type: Warm FloralsKey Notes: Frangipani- Orange Blossom- Golden AmberFragrance Description: Radiant notes of frangipani and orange blossom are combined with warm golden amber to capture the mystery of a luminous- sun-kissed hibiscus. Wrap yourself in bliss with this luminous solar floral that captures the mysterious allure of a Voodoo Queen hibiscus and the warm radiance of a stunning sunset.About the Bottle: Inspired by the works of 18th Century British artist Mrs. Mary Delany- NEST Fragrancesâ€™ founder- Laura Slatkin- collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,Suggested Usage:-Fragrance is intensified by the warmth of your own body. Apply in the creases of your knees and elbows for a longer-lasting- stronger scent.Â -After applying- avoid rubbing or dabbing skin. This breaks down the fragrance- causing it to wear off more quickly.Â -If you prefer placing fragrance on your wrists- be sure to reapply after frequent hand-washing- as this tends to rinse off the scent.Â -Replace fragrance after 12 months. Expired perfumes more than a year old lose the integrity of the original scent. Eau de Toilette or Eau de Parfum?: The difference lies in the volume of perfume oil. While EDT contains five to nine percent- EDP contains more- usually eight to 14 percent. EDPs- therefore- last longer and smell more intense.,Alcohol Denat.- Fragrance (Parfum)- Water/Aqua/Eau- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate.,0,1,0,0
1912047,NEST New York,Perfume,Black Tulip,1.7,4.5,206,10600,74,74,https://www.sephora.com/product/black-tulip-P415763?icid2=products grid:p415763,FALSE,0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.27 oz/ 8 mL Eau de Parfum Rollerball,Fragrance Family: FloralScent Type: Warm FloralsKey Notes: Black Amber Plum- Pink Pepper- Japanese VioletAbout: Black amber plum is nuanced by the aroma of patchouli- pink pepper- and Japanese violet for a scent that is as provocative as it is seductive and alluring.Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,no instructions,Alcohol Denat.- Fragrance- Water- Alpha-Isomethyl Ionone- Benzyl Alcohol- Benzyl Benzoate- Benzyl Salicylate- Butylphenyl Methylpropional- Citral- Citronellol- Coumarin- Eugenol- Geraniol- Limonene- Linalool.,0,0,0,0
1558220,NEST New York,Perfume,Midnight Fleur,1.7,4.5,328,10600,74,74,https://www.sephora.com/product/midnight-fleur-P382092?icid2=products grid:p382092,FALSE,0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.27 oz/ 8 mL Eau de Parfum Rollerball,"Exotic wood- patchouli- and black amber are blended with sensual notes of night-blooming jasmine and vanilla orchid.  The combination of these notes is bold- irresistible- and purely sensual.

Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.

Notes:
Exotic Woods- Black Amber- Patchouli- Night-Blooming Jasmine- Vanilla Orchid.
Style:
Sensual. Intoxicating. Bold.
",no instructions,Alcohol Denat.- Fragrance- Benzyl Salicylate- Butylphenyl Methylpropional- Benzyl Alcohol- Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde- Limonene- Coumarin- Benzyl Benzoate- Farnesol- Linalool.,0,0,0,0
1771146,NEST New York,Perfume,Citrine,1.7,4.5,265,8600,74,74,https://www.sephora.com/product/citrine-P406775?icid2=products grid:p406775,FALSE,0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.27 oz/ 8 mL Eau de Parfum Rollerball,"The dewy softness of lotus flower and freesia are set against sparkling citrus notes and hints of precious woods.

Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.

Notes:
Lemon Blossom- Lotus Flower- Freesia- Dew Drop Accord- Precious Woods.
 Style:
Bright. Refreshing. Sparkling.
",no instructions,Alcohol Denat.- Fragrance- Water- BHT- Ethylhexyl Methoxycinnamate- Butyl Methoxydibenzoylmethane- Ethylhexyl Salicylate- Benzyl Alcohol- Benzyl Salicylate- Citral- Citronellol- Geraniol- Hexyl Cinnamal- Hydroxycitronellal- Limonene- Linalool.,0,0,0,0
2039865,NEST New York,Perfume,Wisteria Blue,1.7,4.5,66,4800,74,74,https://www.sephora.com/product/wisteria-blue-P427608?icid2=products grid:p427608,TRUE,exclusive, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.28 oz/ 8 mL Eau de Parfum Rollerball,Fragrance Family: FloralScent Type: Fruity FloralsKey Notes: French Wisteria- Bulgarian Rose- Imperial JasmineAbout:Delicate notes of French wisteria are blended with the essence of Bulgarian rose- Imperial jasmine- and fresh watery nuances. What else you need to know:Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.,no instructions,Alcohol Denat- Fragrance- Pentaerythrithyl Tetra-di-t-butyl Hydroxyhydrocinnamate- Ethylhexyl Methoxycinnamate- Hexyl Cinnamal- Butylphenyl Methylpropional- Linalool- Alpha-Isomethyl Ionone- Benzyl Alcohol- Benzyl Benzoate- Benzyl Salicylate- D-Limonene- Farnesol- Geraniol- Eugenol- Citral- Hydroxycitronellal- Citronellol.,0,1,0,0
1558170,NEST New York,Perfume,Dahlia & Vines,1.7,4.5,133,6800,74,74,https://www.sephora.com/product/dahlia-vines-P382094?icid2=products grid:p382094,FALSE,0, - 1.7 oz/ 50 mL Eau de Parfum Spray  - 0.27 oz/ 8 mL Eau de Parfum Rollerball,"Dewy daffodils- peony- and rose are blended with the essence of garden vines. This combination reveals a romantic floral that exudes elegance- grace- and luxury.

Inspired by the works of 18th Century British artist Mrs. Mary Delany- Laura Slatkin collaborated with master perfumers to translate these works of art into luxurious fragrances that capture the essence of each of the botanicals that adorn the products' striking packaging.

Notes:
Dewy Daffodils- Peony- Rose- Garden Vines.
Style:
Elegant. Classic. Romantic.
",no instructions,Alcohol Denat.- Fragrance- Water- Benzyl Salicylate- Butylphenyl Methylpropional- Benzyl Alcohol- Limonene- Linalool- Alpha-Isomethyl Ionone- Butylphenyl Methylpropional- Citral- Citronellol- Geraniol- Methyl 2-Octynoate.,0,0,0,0
